127.0.0.1 - - [28/Aug/2017:19:16:47 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:01 +0900] "GET /JspSemi/index.jsp HTTP/1.1" 200 5496
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:01 +0900] "GET /JspSemi/css/top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:01 +0900] "GET /JspSemi/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:01 +0900] "GET /JspSemi/css/swiper.min.css HTTP/1.1" 200 19390
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:01 +0900] "GET /JspSemi/js/swiper.min.js HTTP/1.1" 200 96419
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:02 +0900] "GET /JspSemi/image/logo.png HTTP/1.1" 200 2124
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:02 +0900] "GET /JspSemi/image/banner/main1.jpg HTTP/1.1" 200 328790
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:02 +0900] "GET /JspSemi/image/banner/main2.jpg HTTP/1.1" 200 196052
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:02 +0900] "GET /JspSemi/image/banner/main3.jpg HTTP/1.1" 200 224253
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:03 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:19 +0900] "GET /JspSemi/RecruitList.bo HTTP/1.1" 200 3079
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:19 +0900] "GET /JspSemi/css/recruit.css HTTP/1.1" 200 26320
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:19 +0900] "GET /JspSemi/css/recruit2.css HTTP/1.1" 200 34076
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:24 +0900] "GET /JspSemi/rvBoardList.bo HTTP/1.1" 200 5383
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:24 +0900] "GET /JspSemi/css/board.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:24 +0900] "GET /JspSemi/js/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:25 +0900] "GET /JspSemi/rvBoardDetailAction.bo?num=1 HTTP/1.1" 200 4300
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:28 +0900] "GET /JspSemi/rvBoardList.bo HTTP/1.1" 200 5383
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:30 +0900] "GET /JspSemi/sbBoardList.bo HTTP/1.1" 200 4807
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:17:36 +0900] "GET /JspSemi/eventBoard.bo HTTP/1.1" 200 11531
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:18:04 +0900] "GET /JspSemi/login.com HTTP/1.1" 200 2033
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:18:04 +0900] "GET /JspSemi/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:18:07 +0900] "GET /JspSemi/pjoin.com HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:18:07 +0900] "GET /JspSemi/js/pmjoin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:18:09 +0900] "GET /JspSemi/pjoin.com HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:18:10 +0900] "GET /JspSemi/ejoin.com HTTP/1.1" 200 5176
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:18:10 +0900] "GET /JspSemi/js/ejoin1.js HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:18:10 +0900] "GET /JspSemi/pjoin.com HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:18:19 +0900] "GET /JspSemi/MemberIdCheckAction.com?p_id=sumin0914 HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:10 +0900] "POST /JspSemi/pjoinProcess.com HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:11 +0900] "GET /JspSemi/login.com HTTP/1.1" 200 2033
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:22 +0900] "POST /JspSemi/loginProcess.com HTTP/1.1" 200 11448
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:23 +0900] "GET /JspSemi/chatting/ChatLogin HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:23 +0900] "GET /JspSemi/semi/chatting/ChatServlet?id=sumin0914 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:23 +0900] "GET /JspSemi/semi/chatting/ChatInput?id=sumin0914 HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:25 +0900] "GET /JspSemi/semi/chatting/ChatServlet?id=sumin0914 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:27 +0900] "GET /JspSemi/semi/chatting/ChatServlet?id=sumin0914 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:29 +0900] "GET /JspSemi/semi/chatting/ChatServlet?id=sumin0914 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:31 +0900] "GET /JspSemi/semi/chatting/ChatServlet?id=sumin0914 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:33 +0900] "GET /JspSemi/semi/chatting/ChatServlet?id=sumin0914 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:36 +0900] "GET /JspSemi/semi/chatting/ChatServlet?id=sumin0914 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:38 +0900] "GET /JspSemi/semi/chatting/ChatServlet?id=sumin0914 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:40 +0900] "GET /JspSemi/semi/chatting/ChatServlet?id=sumin0914 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:42 +0900] "GET /JspSemi/semi/chatting/ChatServlet?id=sumin0914 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:44 +0900] "GET /JspSemi/semi/chatting/ChatServlet?id=sumin0914 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:46 +0900] "GET /JspSemi/semi/chatting/ChatServlet?id=sumin0914 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:48 +0900] "GET /JspSemi/semi/chatting/ChatServlet?id=sumin0914 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:50 +0900] "GET /JspSemi/semi/chatting/ChatServlet?id=sumin0914 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:52 +0900] "GET /JspSemi/semi/chatting/ChatServlet?id=sumin0914 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:54 +0900] "GET /JspSemi/semi/chatting/ChatServlet?id=sumin0914 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:56 +0900] "GET /JspSemi/KHJobs.com HTTP/1.1" 200 5482
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:56 +0900] "GET /JspSemi/semi/chatting/ChatServlet?id=sumin0914 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:19:58 +0900] "GET /JspSemi/semi/chatting/ChatServlet?id=sumin0914 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:20:00 +0900] "GET /JspSemi/KHJobs.com HTTP/1.1" 200 5496
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:20:00 +0900] "GET /JspSemi/css/top.css HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:20:00 +0900] "GET /JspSemi/image/logo.png HTTP/1.1" 200 2124
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:20:00 +0900] "GET /JspSemi/css/swiper.min.css HTTP/1.1" 200 19390
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:20:00 +0900] "GET /JspSemi/css/main.css HTTP/1.1" 200 9390
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:20:00 +0900] "GET /JspSemi/image/banner/main1.jpg HTTP/1.1" 200 328790
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:20:00 +0900] "GET /JspSemi/image/banner/main2.jpg HTTP/1.1" 200 196052
0:0:0:0:0:0:0:1 - - [28/Aug/2017:19:20:00 +0900] "GET /JspSemi/image/banner/main3.jpg HTTP/1.1" 200 224253
